ParticipantID,DeadlinePresentationOrder,BlockNumber,ExperimentRoundNumber,ExperimentGambleNumber,LotteryLeft,LotteryRight,GambleChoice,GambleResponseTime,GambleSecondaryChoices,GambleSecondaryChoicesTimes,GambleDeadline,FullScreenExited,ReproducedTime,MissedDeadline,SubjectiveDifficulty,ResponseTimeSubjectiveDifficulty,ResponseTimeSubmitAnswersQuestionnaire,Counter,Age,Sex,SubjectiveDifficulty3Lev,lot_0_val,lot_0_prob,lot_0_ev,lot_1_val,lot_1_prob,lot_1_ev,dX,dP,dEV,dEV_bin,RiskyChoice,BlockRoundNumber,AbsoluteError,RiskAttitudeScore
0,Random,2,27,33,1,0,Left,3.0397000000001864,,,8,0,9.09289999999944,0,3,2.155,3.427200000000186,0,50,Male,2,57.0,51.0,29.07,62.0,48.0,29.76,-5.0,3.0,-0.6899999999999977,3,1,7,0.13661249999993,0.4833333333333333
0,Random,2,35,4,0,1,Left,3.441299999999814,,,8,0,7.215100000000559,0,3,2.070599999999628,2.8800999999996275,0,50,Male,2,72.0,82.0,59.04,73.0,81.0,59.13,-1.0,1.0,-0.0900000000000034,3,0,15,0.0981124999999301,0.4833333333333333
0,Random,3,57,44,0,1,Right,2.1032000000001863,,,8,0,8.730600000000559,0,3,2.0541000000005587,2.9744000000003727,0,50,Male,2,19.0,86.0,16.34,45.0,71.0,31.95,-26.0,15.0,-15.61,0,1,17,0.0913250000000698,0.4833333333333333
0,Random,3,59,47,0,1,Left,3.492599999999628,,,8,0,7.842399999999441,0,4,2.0975,3.0418999999994414,0,50,Male,3,68.0,30.0,20.4,89.0,16.0,14.24,-21.0,14.0,6.159999999999998,6,0,19,0.0197000000000698,0.4833333333333333
0,Random,3,45,48,0,1,Left,2.0972000000001865,,,8,0,6.6607999999998135,0,2,1.7146000000005588,2.4662000000001862,0,50,Male,1,35.0,68.0,23.8,54.0,43.0,23.22,-19.0,25.0,0.5800000000000018,4,0,5,0.1674000000000233,0.4833333333333333
0,Random,2,32,5,1,0,Right,2.4067000000001864,,,8,0,7.385699999999255,0,3,2.1447000000001863,3.1052000000001865,0,50,Male,2,72.0,33.0,23.76,98.0,5.0,4.9,-26.0,28.0,18.86,7,0,12,0.0767875000000931,0.4833333333333333
0,Random,1,9,51,1,0,Right,1.4555,,,8,0,6.789099999999627,0,2,1.5517999999998138,3.183699999999255,0,50,Male,1,41.0,94.0,38.54,48.0,70.0,33.599999999999994,-7.0,24.0,4.940000000000005,5,0,9,0.1513625000000465,0.4833333333333333
0,Random,1,8,56,1,0,Left,4.253100000000559,,,8,0,7.798200000000186,0,3,2.5076000000005587,3.385,0,50,Male,2,62.0,34.0,21.08,86.0,15.0,12.9,-24.0,19.0,8.180000000000001,6,1,8,0.0252249999999767,0.4833333333333333
0,Random,1,16,57,0,1,Right,2.118599999999628,,,8,0,6.780200000000186,0,2,0.794800000000745,1.5472000000001862,0,50,Male,1,59.0,94.0,55.46,86.0,89.0,76.54,-27.0,5.0,-21.080000000000013,0,1,16,0.1524749999999767,0.4833333333333333
0,Random,1,6,58,0,1,Right,2.9044000000003725,,,8,0,6.923899999999441,0,2,3.689399999999441,4.753899999999441,0,50,Male,1,36.0,54.0,19.44,48.0,53.0,25.44,-12.0,1.0,-6.0,1,1,6,0.1345125000000698,0.4833333333333333
0,Random,2,39,59,0,1,Right,3.091299999999814,,,8,0,7.652799999999813,0,4,2.05,3.074700000000186,0,50,Male,3,8.0,64.0,5.12,25.0,34.0,8.5,-17.0,30.0,-3.38,2,1,19,0.0434000000000234,0.4833333333333333
