ParticipantID,BlockNumber,SubjectiveBlockTotalTime,ResponseTimeSubjectiveBlockTotalTime,ResponseTimeFirstAttemptSubjectiveBlockTotalTime,AttemptsAnswerSubjectiveBlockTotalTime,ConfidenceSubjectiveBlockTotalTime,ResponseTimeConfidenceSubjectiveBlockTotalTime,LevelBoredom,ResponseTimeLevelBoredom,TotalObjectiveBlockTime
32,3,12,4.118599999994039,4.118599999994039,1.0,3,5.2825,4,8.66630000001192,432.6337999999821
33,1,5,58.19980000001192,,,3,60.21230000001192,2,63.25910000002384,497.1345
33,2,7,35.81169999998808,22.9875,2.0,3,38.433,3,41.08689999997616,475.0901000000238
33,3,6,6.126599999964237,6.126599999964237,1.0,3,7.656099999964237,3,8.4985,427.36860000002383
34,2,20,17.7902999997139,16.388199999809267,2.0,2,21.71639999961853,3,23.52039999961853,436.039
34,3,10,9.056300000190737,7.066300000190735,2.0,2,12.952,3,14.134599999904632,433.8901999998093
35,1,12,13.751799999952317,,,3,16.236299999952315,3,18.32909999990463,425.6070999999046
35,2,10,8.839,8.839,1.0,3,10.6965,3,11.8145,421.7305
35,3,12,8.016200000047684,8.016200000047684,1.0,3,10.211099999904633,3,11.7085,426.7572000000477
36,1,12,22.9855,,,4,25.65369999999925,4,26.32269999999925,438.6246999999993
36,2,20,5.985900000002236,5.985900000002236,1.0,3,6.924900000002236,4,9.273900000002236,875.7581000000015
36,3,20,4.46479999999702,3.193199999999255,2.0,3,5.718,4,7.314,417.0689000000023
37,1,15,26.775,,,2,30.52030000001192,4,34.52590000000596,514.3455
37,2,10,5.60920000000298,4.555,2.0,3,9.32879999999702,4,11.35520000000298,477.43310000000895
37,3,8,4.00689999999106,4.00689999999106,1.0,2,6.09379999999702,3,7.59809999999404,451.86319999998807
38,1,13,12.02290000000596,,,2,13.76259999999404,3,15.829,469.4428000000119
38,2,6,7.586800000011921,7.586800000011921,1.0,3,13.19840000000596,2,18.49830000001192,428.36589999997614
38,3,7,3.69759999999404,3.69759999999404,1.0,3,4.79740000000596,3,7.430900000005961,381.583300000012
39,2,5,4.588699999999953,4.588699999999953,1.0,4,7.889,4,11.183399999999908,385.6532
39,3,7,2.769799999999813,2.769799999999813,1.0,3,5.905799999999814,4,9.430200000000186,381.98479999999984
40,1,5,17.70239999999851,,,2,20.308299999998884,3,22.76329999999888,399.5577999999989
40,2,6,11.090699999999256,11.090699999999256,1.0,3,19.223099999999626,3,21.090199999999253,392.2802999999989
40,3,9,10.352199999999256,10.352199999999256,1.0,2,12.626099999999628,3,14.286400000000372,353.39159999999964
41,1,7,10.402,,,1,12.225099999999628,4,16.76939999999991,388.454
