"TargetTime","TT_c","Condition","T_frac_c","TF","emmean","SE","lower.CL","upper.CL"
"8 s",0,"Random",0.369157951461853,0.730633333332969,-2.11055471026896,0.359367449735835,-2.83311139546661,-1.38799802507131
"8 s",0,"Random",0.378926469980367,0.740401851851482,-2.12326054543897,0.361942658130348,-2.85099503414275,-1.39552605673518
"8 s",0,"Random",0.38869498849888,0.750170370369996,-2.13596638060898,0.364537187197223,-2.86891751963428,-1.40301524158367
"8 s",0,"Random",0.398463507017394,0.75993888888851,-2.14867221577898,0.367150627338754,-2.88687802838983,-1.41046640316814
"8 s",0,"Random",0.408232025535908,0.769707407407023,-2.16137805094899,0.369782577592828,-2.90487575422101,-1.41788034767697
"8 s",0,"Random",0.418000544054421,0.779475925925537,-2.174083886119,0.372432645531414,-2.92290990809841,-1.4252578641396
"8 s",0,"Random",0.427769062572935,0.789244444444051,-2.18678972128901,0.375100447152809,-2.94097971793484,-1.43259972464318
"8 s",0,"Random",0.437537581091449,0.799012962962564,-2.19949555645902,0.377785606768341,-2.95908442835761,-1.43990668456043
"8 s",0,"Random",0.447306099609962,0.808781481481078,-2.21220139162903,0.380487756884222,-2.97722330047092,-1.44717948278713
"8 s",0,"Random",0.457074618128476,0.818549999999591,-2.22490722679904,0.383206538079176,-2.99539561160988,-1.45441884198819
"8 s",0,"Random",0.466843136646989,0.828318518518105,-2.23761306196905,0.385941598878437,-3.0136006550871,-1.46162546885099
"8 s",0,"Random",0.476611655165503,0.838087037036619,-2.25031889713906,0.388692595624664,-3.03183773993319,-1.46880005434493
"8 s",0,"Random",0.486380173684017,0.847855555555132,-2.26302473230907,0.391459192346291,-3.05010619063203,-1.4759432739861
"8 s",0,"Random",0.49614869220253,0.857624074073646,-2.27573056747908,0.394241060623774,-3.06840534685188,-1.48305578810627
"8 s",0,"Random",0.505917210721044,0.86739259259216,-2.28843640264908,0.397037879454195,-3.08673456317311,-1.49013824212506
"8 s",0,"Random",0.515685729239557,0.877161111110673,-2.30114223781909,0.399849335114598,-3.10509320881344,-1.49719126682474
"8 s",0,"Random",0.525454247758071,0.886929629629187,-2.3138480729891,0.402675121024463,-3.12348066735143,-1.50421547862677
"8 s",0,"Random",0.535222766276585,0.8966981481477,-2.32655390815911,0.405514937607633,-3.14189633644884,-1.51121147986938
"8 s",0,"Random",0.544991284795098,0.906466666666214,-2.33925974332912,0.40836849215403,-3.16033962757261,-1.51817985908563
"8 s",0,"Random",0.554759803313612,0.916235185184728,-2.35196557849913,0.411235498681433,-3.17880996571695,-1.52512119128131
"8 s",0,"Random",0.564528321832126,0.926003703703241,-2.36467141366914,0.414115677797587,-3.19730678912608,-1.53203603821219
"8 s",0,"Random",0.574296840350639,0.935772222221755,-2.37737724883915,0.41700875656288,-3.21582954901814,-1.53892494866016
"8 s",0,"Random",0.584065358869153,0.945540740740268,-2.39008308400916,0.419914468353808,-3.23437770931062,-1.54578845870769
"8 s",0,"Random",0.593833877387666,0.955309259258782,-2.40278891917917,0.422832552727412,-3.25295074634788,-1.55262709201045
"8 s",0,"Random",0.60360239590618,0.965077777777296,-2.41549475434918,0.42576275528688,-3.27154814863084,-1.55944136006751
"8 s",0,"Random",0.613370914424694,0.974846296295809,-2.42820058951918,0.428704827548453,-3.29016941654941,-1.56623176248896
"8 s",0,"Random",0.623139432943207,0.984614814814323,-2.44090642468919,0.43165852680979,-3.30881406211783,-1.57299878726056
"8 s",0,"Random",0.632907951461721,0.994383333332837,-2.4536122598592,0.434623616019914,-3.32748160871317,-1.57974291100524
"10 s",2,"Block",-0.334175381871127,0.0272999999999883,-1.0938873746424,0.371484663275603,-1.84080735054866,-0.346967398736134
"10 s",2,"Block",-0.324406863352614,0.037068518518502,-1.14173279883913,0.368183414504451,-1.88201516922255,-0.401450428455711
"10 s",2,"Block",-0.3146383448341,0.0468370370370156,-1.18957822303586,0.364996298179102,-1.92345246655894,-0.455703979512784
"10 s",2,"Block",-0.304869826315586,0.0566055555555292,-1.2374236472326,0.36192632945651,-1.96512530493722,-0.509721989527981
"10 s",2,"Block",-0.295101307797073,0.0663740740740428,-1.28526907142933,0.358976513889696,-2.00703972742674,-0.563498415431932
"10 s",2,"Block",-0.285332789278559,0.0761425925925564,-1.33311449562607,0.35614983700131,-2.04920173682311,-0.617027254429029
"10 s",2,"Block",-0.275564270760046,0.08591111111107,-1.3809599198228,0.353449253173412,-2.09161727330959,-0.670302566336012
"10 s",2,"Block",-0.265795752241532,0.0956796296295837,-1.42880534401954,0.350877673901816,-2.13429219084087,-0.723318497198204
"10 s",2,"Block",-0.256027233723018,0.105448148148097,-1.47665076821627,0.348437955478129,-2.17723223237612,-0.77606930405642
"10 s",2,"Block",-0.246258715204505,0.115216666666611,-1.52449619241301,0.346132886178027,-2.22044300411934,-0.828549380706672
"10 s",2,"Block",-0.236490196685991,0.124985185185125,-1.57234161660974,0.34396517304984,-2.26392994895598,-0.880753284263498
"10 s",2,"Block",-0.226721678167477,0.134753703703638,-1.62018704080647,0.341937428412867,-2.30769831930603,-0.932675762306916
"10 s",2,"Block",-0.216953159648964,0.144522222222152,-1.66803246500321,0.340052156189497,-2.35175314964287,-0.984311780363542
"10 s",2,"Block",-0.20718464113045,0.154290740740665,-1.71587788919994,0.338311738208668,-2.39609922895456,-1.03565654944533
"10 s",2,"Block",-0.197416122611937,0.164059259259179,-1.76372331339668,0.336718420629964,-2.44074107344762,-1.08670555334573
"10 s",2,"Block",-0.187647604093423,0.173827777777693,-1.81156873759341,0.335274300647139,-2.4856828998127,-1.13745457537412
"10 s",2,"Block",-0.177879085574909,0.183596296296206,-1.85941416179015,0.333981313636618,-2.53092859938493,-1.18789972419536
"10 s",2,"Block",-0.168110567056396,0.19336481481472,-1.90725958598688,0.332841220920092,-2.5764817135389,-1.23803745843486
"10 s",2,"Block",-0.158342048537882,0.203133333333233,-1.95510501018361,0.331855598310224,-2.62234541065834,-1.28786460970889
"10 s",2,"Block",-0.148573530019369,0.212901851851747,-2.00295043438035,0.331025825604619,-2.66852246501225,-1.33737840374845
"10 s",2,"Block",-0.138805011500855,0.222670370370261,-2.05079585857708,0.330353077185191,-2.71501523785375,-1.38657647930042
"10 s",2,"Block",-0.129036492982341,0.232438888888774,-2.09864128277382,0.329838313868103,-2.7618256610332,-1.43545690451444
"10 s",2,"Block",-0.119267974463828,0.242207407407288,-2.14648670697055,0.329482276133489,-2.80895522338569,-1.48401819055541
"10 s",2,"Block",-0.109499455945314,0.251975925925802,-2.19433213116729,0.329285478844694,-2.85640496011337,-1.53225930222121
"10 s",2,"Block",-0.0997309374268004,0.261744444444315,-2.24217755536402,0.32924820754406,-2.90417544533759,-1.58017966539046
"10 s",2,"Block",-0.0899624189082868,0.271512962962829,-2.29002297956076,0.329370516387088,-2.95226678794528,-1.62777917117623
"10 s",2,"Block",-0.0801939003897732,0.281281481481342,-2.33786840375749,0.329652227749701,-3.0006786307993,-1.67505817671568
"10 s",2,"Block",-0.0704253818712596,0.291049999999856,-2.38571382795422,0.330092933515256,-3.04941015332614,-1.72201750258231
"10 s",2,"Block",-0.060656863352746,0.30081851851837,-2.43355925215096,0.330691998019602,-3.09846007743737,-1.76865842686454
"10 s",2,"Block",-0.0508883448342324,0.310587037036883,-2.48140467634769,0.331448562604832,-3.14782667668556,-1.81498267600983
"10 s",2,"Block",-0.0411198263157188,0.320355555555397,-2.52925010054443,0.332361551706187,-3.19750778850281,-1.86099241258604
"10 s",2,"Block",-0.0313513077972051,0.33012407407391,-2.57709552474116,0.333429680372643,-3.24750082932194,-1.90669022016039
"10 s",2,"Block",-0.0215827892786915,0.339892592592424,-2.6249409489379,0.334651463100618,-3.2978028123378,-1.95207908553799
"10 s",2,"Block",-0.0118142707601779,0.349661111110938,-2.67278637313463,0.336025223842629,-3.34841036763108,-1.99716237863818
"10 s",2,"Block",-0.00204575224166426,0.359429629629451,-2.72063179733136,0.337549107038838,-3.39931976434867,-2.04194383031406
"10 s",2,"Block",0.00772276627684937,0.369198148147965,-2.7684772215281,0.339221089509581,-3.45052693461522,-2.08642750844098
"10 s",2,"Block",0.017491284795363,0.378966666666479,-2.81632264572483,0.341038993041178,-3.5020274988386,-2.13061779261107
"10 s",2,"Block",0.0272598033138766,0.388735185184992,-2.86416806992157,0.343000497495466,-3.55381679206836,-2.17451934777478
"10 s",2,"Block",0.0370283218323902,0.398503703703506,-2.9120134941183,0.345103154275438,-3.60588989107026,-2.21813709716635
"10 s",2,"Block",0.0467968403509038,0.408272222222019,-2.95985891831504,0.347344399984654,-3.65824164179032,-2.26147619483976
"10 s",2,"Block",0.0565653588694174,0.418040740740533,-3.00770434251177,0.349721570126387,-3.7108666868988,-2.30454199812474
"10 s",2,"Block",0.0663338773879311,0.427809259259047,-3.05554976670851,0.352231912699224,-3.76375949312603,-2.34734004029098
"10 s",2,"Block",0.0761023959064447,0.43757777777756,-3.10339519090524,0.354872601558595,-3.81691437812749,-2.38987600368299
"10 s",2,"Block",0.0858709144249583,0.447346296296074,-3.15124061510197,0.35764074942783,-3.87032553664435,-2.4321556935596
"10 s",2,"Block",0.0956394329434719,0.457114814814587,-3.19908603929871,0.360533420457463,-3.92398706575564,-2.47418501284178
"10 s",2,"Block",0.105407951461986,0.466883333333101,-3.24693146349544,0.36354764224698,-3.97789298904956,-2.51596993794132
"10 s",2,"Block",0.115176469980499,0.476651851851615,-3.29477688769218,0.366680417258738,-4.03203727957275,-2.5575164958116
"10 s",2,"Block",0.124944988499013,0.486420370370128,-3.34262231188891,0.369928733568871,-4.0864138814464,-2.59883074233143
"10 s",2,"Block",0.134713507017526,0.496188888888642,-3.39046773608565,0.37328957491446,-4.14101673006743,-2.63991874210386
"10 s",2,"Block",0.14448202553604,0.505957407407156,-3.43831316028238,0.37675993000967,-4.1958397708399,-2.68078654972487
"10 s",2,"Block",0.154250544054554,0.515725925925669,-3.48615858447912,0.380336801115915,-4.25087697640639,-2.72144019255184
"10 s",2,"Block",0.164019062573067,0.525494444444183,-3.53400400867585,0.384017211862184,-4.30612236237191,-2.76188565497979
"10 s",2,"Block",0.173787581091581,0.535262962962696,-3.58184943287258,0.387798214321375,-4.36157000153175,-2.80212886421342
"10 s",2,"Block",0.183556099610094,0.54503148148121,-3.62969485706932,0.39167689535689,-4.41721403663223,-2.84217567750641
"10 s",2,"Block",0.193324618128608,0.554799999999724,-3.67754028126605,0.395650382260778,-4.47304869170689,-2.88203187082522
"10 s",2,"Block",0.203093136647122,0.564568518518237,-3.72538570546279,0.399715847710484,-4.52906828204272,-2.92170312888285
"10 s",2,"Block",0.212861655165635,0.574337037036751,-3.77323112965952,0.403870514075792,-4.58526722283987,-2.96119503647917
"10 s",2,"Block",0.222630173684149,0.584105555555265,-3.82107655385626,0.408111657111018,-4.64164003663529,-3.00051307107722
"10 s",2,"Block",0.232398692202663,0.593874074073778,-3.86892197805299,0.412436609069904,-4.69818135956562,-3.03966259654036
"10 s",2,"Block",0.242167210721176,0.603642592592292,-3.91676740224972,0.416842761282218,-4.75488594654781,-3.07864885795164
"10 s",2,"Block",0.25193572923969,0.613411111110805,-3.96461282644646,0.421327566231797,-4.81174867545734,-3.11747697743558
"10 s",2,"Block",0.261704247758203,0.623179629629319,-4.01245825064319,0.425888539175872,-4.86876455038401,-3.15615195090238
"10 s",2,"Block",0.271472766276717,0.632948148147833,-4.06030367483993,0.430523259344986,-4.92592870404463,-3.19467864563523
"10 s",2,"Block",0.281241284795231,0.642716666666346,-4.10814909903666,0.435229370761929,-4.98323639942952,-3.2330617986438
"10 s",2,"Block",0.291009803313744,0.65248518518486,-4.1559945232334,0.440004582716752,-5.04068303075764,-3.27130601570915
"10 s",2,"Block",0.300778321832258,0.662253703703373,-4.20383994743013,0.444846669933342,-5.0982641238115,-3.30941577104876
"10 s",2,"Block",0.310546840350772,0.672022222221887,-4.25168537162687,0.449753472461245,-5.15597533571964,-3.34739540753409
"10 s",2,"Block",0.320315358869285,0.681790740740401,-4.2995307958236,0.454722895324432,-5.21381245425043,-3.38524913739677
"10 s",2,"Block",0.330083877387799,0.691559259258914,-4.34737622002033,0.459752907956703,-5.2717713966769,-3.42298104336377
"10 s",2,"Block",0.339852395906312,0.701327777777428,-4.39522164421707,0.46484154345129,-5.32984820826793,-3.46059508016621
